cid,gender,age,postalcode
129719885,1,40,37151
162390735,1,26,37138
124680884,0,71,37191
113002603,0,57,37163
141618602,0,42,37140
123701137,1,61,37143
135654490,1,74,37141
141654277,0,35,37160
114936734,0,45,37154
141917410,0,51,37147
146439691,0,36,37133
112377280,1,62,37147
124065599,0,54,37163
165588434,0,37,37139
158484560,0,27,37162
135026309,0,73,37191
115920440,1,77,37132
103249149,0,57,37159
139701008,1,41,37131
145341764,0,53,37151
129668960,0,76,37143
124974824,1,76,37142
157810854,1,48,37147
169141222,1,30,37147
149381279,1,40,37151
147734453,0,30,37149
148465330,1,31,37146
153244553,0,44,37157
135026713,1,57,37163
168278257,1,40,37162
154048325,0,31,37137
126820340,1,90,37150
110420295,0,53,37132
157206698,0,37,37138
125655604,1,55,37135
154222178,1,29,37152
169012498,0,22,37159
152301304,0,30,37161
167662253,1,39,37159
143044484,0,58,37156
165150409,1,26,37157
129716115,0,46,37153
145732607,0,32,37131
140522031,0,34,37132
125664317,0,65,37150
106554959,0,59,37133
134129073,1,73,37132
148778081,1,39,37147
166013004,1,73,37161
125083651,1,49,37159
147005648,0,40,37150
140796813,0,43,37160
103025309,0,83,37191
145034674,1,37,37157
114900962,1,54,37165
151013504,0,31,37192
105573983,0,75,37159
118285518,0,51,37152
138658488,0,38,37132
121927643,1,55,37151
145509477,0,62,37162
156816266,0,76,37143
159864950,0,29,37163
108980383,1,50,37149
106838393,0,72,37145
103388131,0,68,37138
129157277,0,45,37140
148825499,0,30,37130
114929351,0,49,37149
109716127,0,50,37147
150999612,0,28,37146
104857924,0,89,37158
163181133,0,24,37130
170926356,1,22,37164
110790466,1,55,37132
102598621,0,75,37130
165364472,0,25,37147
150687449,0,33,37160
157956524,1,45,37149
118116921,1,84,37148
157469734,0,26,37155
151386431,1,33,37131
135982295,1,47,37159
134046094,1,63,37149
145203370,1,75,37147
120840550,0,52,37158
153096184,1,33,37143
122482450,0,41,37142
146707996,1,49,37163
170252893,1,26,37162
111710150,1,82,37151
148532418,0,34,37141
107430927,0,55,37134
163618102,1,36,37161
135027794,0,76,37154
169867165,1,32,37164
151686903,0,96,37163
115958680,1,43,37165
114292898,0,63,37143
120146659,1,76,37130
120347562,0,41,37147
130316333,0,39,37133
122680993,0,46,37146
142894988,0,60,37151
165514604,0,30,37134
116575871,0,51,37158
150209228,1,53,37149
137669677,0,63,37140
107580325,0,63,37156
126882439,1,73,37137
136160305,1,46,37133
133679274,1,68,37146
159281897,1,28,37156
163798259,0,42,37156
170505267,1,72,37133
102893236,1,67,37158
159395169,0,29,37160
152130323,0,30,37146
167000761,1,25,37130
144454542,0,65,37157
169144400,1,22,37165
145978979,1,65,37163
139466676,1,70,37164
146341945,1,59,37138
165671412,0,29,37144
103522868,0,67,37150
139925952,0,35,37146
125584945,1,43,37149
155473639,1,47,37133
136003695,1,74,37135
162157366,0,71,37138
159683952,0,25,37130
136705828,1,40,37134
140756429,1,42,37157
113497142,1,95,37146
124267724,1,56,37160
131505621,0,68,37130
127233171,1,69,37141
154466832,1,34,37137
125096421,1,64,37162
118128734,0,61,37149
154222451,0,29,37159
128609707,1,37,37163
153349229,1,29,37165
138158969,0,66,37154
167398420,0,23,37157
138050811,0,48,37165
125811481,1,49,37154
155843989,1,36,37152
148598890,0,33,37143
136474714,1,69,37133
125664309,1,66,37150
154955521,0,29,37160
160904727,0,73,37136
103522826,0,66,37143
142492338,1,46,37136
165823890,1,29,37147
156069949,1,32,37151
159696310,0,27,37130
169174290,0,35,37151
121974637,0,41,37132
121322183,0,49,37134
159809491,1,55,37141
159815720,0,81,37161
117975747,0,43,37145
161083547,0,28,37130
167035311,1,37,37157
124200117,0,74,37150
160702254,1,23,37164
139747645,0,55,37158
142864312,1,76,37146
138811137,1,38,37132
157040725,0,26,37164
170947221,1,21,37149
144634557,0,36,37162
115106074,0,46,37155
157662421,0,27,37192
162325798,1,36,37139
108935950,1,51,37134
160884656,0,29,37149
161668480,0,27,37149
109849562,1,63,37141
102327888,0,81,37159
147486335,0,40,37159
131555361,1,68,37157
135162336,1,43,37134
120992276,0,43,37162
138279608,0,34,37151
150687457,1,32,37160
143329497,1,56,37152
177336089,1,29,37140
142952323,1,43,37157
143094695,1,54,37146
134424596,0,46,37191
152575147,0,29,37151
119877264,1,53,37146
103339017,1,61,37143
171457567,0,24,37148
122159099,1,45,37146
166255314,0,36,37162
138267092,0,67,37149
155305675,1,30,37146
124946460,0,80,37150
151112150,1,35,37151
119394186,0,50,37134
172181728,1,59,37159
113884315,1,61,37135
143487230,0,35,37160
144766929,1,42,37153
151397196,0,27,37158
143202728,1,35,37148
103229935,0,52,37134
115454357,0,49,37165
134429150,1,67,37164
151891347,1,33,37151
134437276,0,85,37161
