pid,category,eco
8,Home,0
37,Bakery and bread,0
58,Bakery and bread,0
61,Seafood,0
259,Condiments,0
301,Condiments,0
760,Condiments,0
845,Condiments,0
846,Fresh cut flowers,0
892,Misc,0
981,Condiments,0
1009,Home,0
1061,Candy,0
1177,Misc,0
1296,Condiments,0
1812,Condiments,0
2120,Vegetables and fruits,0
2243,Misc,0
2526,Misc,0
2612,Condiments,0
2980,Misc,0
2990,Misc,0
2992,Beverages,0
2993,Fresh cut flowers,0
3194,Bakery and bread,0
3255,Bakery and bread,0
3552,Fresh cut flowers,0
3555,Fresh cut flowers,0
3850,Condiments,0
3932,Condiments,0
4022,Bakery and bread,0
4025,Bakery and bread,0
4127,Condiments,0
4184,Condiments,0
4285,Condiments,0
4337,Bakery and bread,0
4536,Misc,0
4771,Misc,0
4775,Condiments,0
4861,Chokolate,0
5025,Candy,0
5145,Bakery and bread,0
5581,Bakery and bread,0
5803,Vegetables and fruits,0
5842,Fresh cut flowers,0
5845,Vegetables and fruits,0
5917,Condiments,0
5993,Misc,0
6061,Beverages,0
6078,Vegetables and fruits,0
6097,Vegetables and fruits,0
6733,Fresh cut flowers,0
6735,Fresh cut flowers,0
6753,Vegetables and fruits,0
6809,Home,0
7071,Vegetables and fruits,0
7136,Candy,0
7239,Frozen foods,0
7295,Condiments,0
7465,Condiments,0
8156,Beverages,0
8283,Condiments,0
8325,Condiments,0
8336,Condiments,0
8361,Home,0
8366,Dairy and eggs,0
8409,Dairy and eggs,0
8436,Condiments,0
8487,Condiments,0
8488,Condiments,0
8492,Misc,0
8499,Condiments,0
8500,Condiments,0
8509,Condiments,0
8520,Condiments,0
8569,Condiments,0
8594,Condiments,0
8614,Condiments,0
8646,Condiments,0
8768,Condiments,0
8771,Condiments,0
8785,Condiments,0
8804,Condiments,0
8906,Condiments,0
8991,Condiments,0
8999,Bakery and bread,0
9019,Condiments,0
9067,Condiments,0
9170,Dairy and eggs,0
9211,Condiments,0
9224,Condiments,0
9589,Cheese,0
9635,Condiments,0
9640,Condiments,0
9736,Condiments,0
10523,Meat and poultry,0
10526,Deli,0
10567,Condiments,0
10592,Misc,0
11132,Tobacco,0
11375,Meat and poultry,0
11380,Deli,0
11888,Candy,0
12459,Condiments,0
12588,Condiments,0
12701,Condiments,0
12817,Home,0
12841,Home,0
12853,Chokolate,0
13191,Misc,0
13450,Condiments,0
13456,Misc,0
13724,Condiments,0
13794,Condiments,0
13953,Seafood,0
14132,Condiments,0
14201,Condiments,0
14202,Condiments,0
14209,Condiments,0
14257,Condiments,0
14263,Condiments,0
14303,Condiments,0
14319,Condiments,0
14337,Condiments,0
14338,Condiments,0
14339,Condiments,0
14386,Condiments,0
14422,Condiments,0
14431,Condiments,0
14473,Condiments,0
14509,Condiments,0
14515,Condiments,0
14532,Condiments,0
14611,Condiments,0
14638,Condiments,0
14656,Condiments,0
14658,Condiments,0
14676,Condiments,0
14710,Condiments,0
14711,Condiments,0
14718,Condiments,0
14739,Condiments,0
14742,Condiments,0
14744,Condiments,0
14801,Condiments,0
14826,Condiments,0
14829,Condiments,0
14833,Condiments,0
14834,Condiments,0
14835,Condiments,0
14837,Condiments,0
14843,Condiments,0
14845,Condiments,0
14846,Condiments,0
14848,Condiments,0
14849,Condiments,0
14850,Condiments,0
14851,Condiments,0
14852,Condiments,0
14859,Condiments,0
14861,Condiments,0
14864,Condiments,0
14870,Condiments,0
14873,Condiments,0
14874,Condiments,0
14877,Condiments,0
14879,Condiments,0
14880,Condiments,0
14881,Condiments,0
14884,Condiments,0
14885,Condiments,0
14888,Condiments,0
14897,Condiments,0
14909,Condiments,0
14910,Condiments,0
14912,Condiments,0
14913,Condiments,0
14915,Condiments,0
14916,Condiments,0
14918,Condiments,0
14922,Condiments,0
14923,Condiments,0
14925,Condiments,0
14926,Condiments,0
14927,Condiments,0
14928,Condiments,0
14937,Condiments,0
14943,Condiments,0
14944,Condiments,0
14954,Condiments,0
14956,Condiments,0
14961,Condiments,0
14972,Condiments,0
14975,Condiments,0
14976,Condiments,0
14977,Condiments,0
14978,Condiments,0
14994,Condiments,0
14998,Condiments,0
15005,Condiments,0
15006,Condiments,0
15007,Bakery and bread,0
15018,Condiments,0
15045,Home,0
15046,Condiments,0
15049,Condiments,0
15051,Condiments,0
15053,Condiments,0
15056,Condiments,0
15057,Condiments,0
15066,Condiments,0
15073,Condiments,0
15080,Condiments,0
15086,Condiments,0
15095,Condiments,0
15114,Condiments,0
15149,Candy,0
15185,Condiments,0
15186,Condiments,0
15224,Condiments,0
15260,Condiments,0
15332,Condiments,0
15345,Condiments,0
15346,Condiments,0
15347,Condiments,0
15349,Condiments,0
15351,Condiments,0
15367,Condiments,0
15380,Condiments,0
15391,Condiments,0
15392,Condiments,0
15402,Condiments,0
15405,Condiments,0
15410,Condiments,0
15413,Condiments,0
15414,Condiments,0
15416,Condiments,0
15417,Condiments,0
15418,Condiments,0
15428,Condiments,0
15441,Condiments,0
15493,Condiments,0
15523,Condiments,0
15524,Condiments,0
15532,Condiments,0
15549,Condiments,0
15563,Condiments,0
15575,Condiments,0
15763,Condiments,0
15768,Condiments,0
15927,Candy,0
16025,Condiments,0
16035,Condiments,0
16192,Candy,0
16386,Misc,0
16478,Condiments,0
16674,Bakery and bread,0
16768,Condiments,0
16920,Vegetables and fruits,0
17087,Bakery and bread,0
17167,Vegetables and fruits,0
17184,Misc,0
17243,Candy,0
17318,Candy,0
17440,Misc,0
17441,Misc,0
17625,Bakery and bread,0
17671,Condiments,0
17900,Bakery and bread,0
18019,Misc,0
18624,Seafood,0
18641,Candy,0
18852,Seafood,0
18942,Bakery and bread,0
19150,Candy,0
19164,Candy,0
19409,Condiments,0
19493,Condiments,0
19513,Bakery and bread,0
19916,Bakery and bread,0
20071,Bakery and bread,0
20182,Candy,0
20204,Candy,0
20411,Candy,0
20476,Candy,0
20494,Candy,0
20587,Candy,0
20886,Bakery and bread,0
21290,Bakery and bread,0
21401,Candy,0
21917,Vegetables and fruits,0
22264,Condiments,0
24319,Condiments,0
24368,Misc,0
24540,Bakery and bread,0
24921,Vegetables and fruits,0
25892,Vegetables and fruits,0
25901,Vegetables and fruits,0
26041,Vegetables and fruits,0
26064,Vegetables and fruits,0
27378,Bakery and bread,0
27992,Bakery and bread,0
28060,Vegetables and fruits,0
28676,Vegetables and fruits,0
